train_list,val_list,test_list,train_distribution,val_distribution,test_distribution
./class/fmri_p1_data/happy\P08_9_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P14_29_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P02_14_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P02_4_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P06_21_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P01_26_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P14_6_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P07_14_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P03_1_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P13_2_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P03_7_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P08_12_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P06_27_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P05_25_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P13_15_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P01_4_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P12_24_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P10_25_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P10_2_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P05_13_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P16_29_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P09_16_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P16_22_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P13_1_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P04_7_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P15_0_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P08_19_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P10_20_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P09_24_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P16_23_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P10_6_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P12_1_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P13_14_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P15_2_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P08_11_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P08_6_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P16_14_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P15_5_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P11_26_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P07_17_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P16_9_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P10_10_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P08_7_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P03_11_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P16_4_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P08_16_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P03_14_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P16_12_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P16_8_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P02_9_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P12_13_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P02_24_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P09_13_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P03_12_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P07_27_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P14_9_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P05_20_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P10_17_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P13_7_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P13_5_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P02_29_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P11_10_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P02_17_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P03_18_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P05_8_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P05_1_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P01_16_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P06_13_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P06_23_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P05_10_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P13_28_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P01_18_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P15_20_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P07_15_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P01_29_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P07_26_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P16_26_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P04_18_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P12_23_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P15_18_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P10_3_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P07_1_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P12_2_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P05_6_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P05_0_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P14_25_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P07_4_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P05_11_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P13_16_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P08_13_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P02_8_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P12_18_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P11_27_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P03_19_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P08_25_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P07_10_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P14_4_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P16_24_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P14_1_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P05_18_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P14_27_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P08_23_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P14_8_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P04_1_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P11_22_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P02_26_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P10_15_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P11_18_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P12_27_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P15_10_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P02_16_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P05_16_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P15_27_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P07_24_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P04_21_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P09_3_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P02_27_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P04_15_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P07_0_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P15_26_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P10_4_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P02_7_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P07_5_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P14_22_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P01_3_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P06_25_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P04_27_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P05_4_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P04_12_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P16_17_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P06_12_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P11_25_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P16_7_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P02_25_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P04_19_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P11_6_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P05_2_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P09_17_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P02_19_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P05_28_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P01_23_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P13_26_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P06_19_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P08_29_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P04_22_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P04_28_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P02_6_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P09_26_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P02_20_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P08_15_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P02_22_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P16_11_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P14_10_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P09_11_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P16_25_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P14_23_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P06_24_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P15_17_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P03_17_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P10_22_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P04_14_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P04_16_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P14_7_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P14_17_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P03_10_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P12_20_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P03_2_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P11_1_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P15_6_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P09_22_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P04_29_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P09_8_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P01_10_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P03_26_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P01_25_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P04_25_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P14_12_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P15_19_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P03_15_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P16_6_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P10_18_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P12_12_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P11_14_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P14_15_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P12_10_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P13_21_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P08_20_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P07_8_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P16_1_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P14_11_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P08_0_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P11_2_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P16_20_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P09_1_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P14_19_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P11_24_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P09_19_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P13_29_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P01_28_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P12_3_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P09_21_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P10_21_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P05_7_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P10_5_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P01_17_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P11_7_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P12_7_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P02_15_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P13_20_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P15_25_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P02_0_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P04_5_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P12_0_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P14_18_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P01_1_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P10_14_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P05_19_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P04_3_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P16_5_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P08_8_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P11_21_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P11_12_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P12_26_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P09_4_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P06_16_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P10_19_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P01_27_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P03_4_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P03_3_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P14_5_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P08_22_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P05_15_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P09_6_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P04_8_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P13_24_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P10_23_sad.npz,0,0,0,0,0
